Publisher,Country
nintendo,japan
microsoft game studios,estados unidos
take-two interactive,estados unidos
sony computer entertainment,japan
activision,estados unidos
ubisoft,francia
bethesda softworks,estados unidos
electronic arts,estados unidos
sega,japan
squaresoft,japan
atari,estados unidos
505 games,reino unido
capcom,japan
gt interactive,estados unidos
konami digital entertainment,japan
sony computer entertainment europe,reino unido
square enix,japan
lucasarts,estados unidos
virgin interactive,reino unido
warner bros. interactive entertainment,estados unidos
universal interactive,estados unidos
eidos interactive,reino unido
redoctane,estados unidos
vivendi games,estados unidos
enix corporation,japan
namco bandai games,japan
palcom,japan
hasbro interactive,estados unidos
thq,estados unidos
fox interactive,estados unidos
acclaim entertainment,estados unidos
mtv games,estados unidos
disney interactive studios,estados unidos
majesco entertainment,reino unido
codemasters,estados unidos
red orb,japan
level 5,estados unidos
arena entertainment,estados unidos
midway games,japan
jvc,austria
deep silver,estados unidos
989 studios,corea del sur
ncsoft,francia
uep systems,estados unidos
parker bros.,estados unidos
maxis,estados unidos
imagic,japan
tecmo koei,estados unidos
valve software,japan
ascii entertainment,estados unidos
mindscape,francia
infogrames,japan
unknown,estados unidos
square,japan
valve,japan
activision value,reino unido
banpresto,estados unidos
d3publisher,japan
oxygen interactive,reino unido
red storm entertainment,estados unidos
video system,estados unidos
hello games,estados unidos
global star,japan
gotham games,estados unidos
westwood studios,japan
gungho,estados unidos
crave entertainment,reino unido
hudson soft,japan
coleco,estados unidos
rising star games,estados unidos
atlus,estados unidos
tdk mediactive,estados unidos
asc games,estados unidos
zoo games,estados unidos
accolade,alemania
sony online entertainment,japan
3do,francia
rtl,reino unido
natsume,estados unidos
focus home interactive,estados unidos
alchemist,reino unido
black label games,reino unido
southpeak games,reino unido
mastertronic,reino unido
ocean,polonia
zoo digital publishing,reino unido
psygnosis au,austria
city interactive,estados unidos
empire interactive,reino unido
success,estados unidos
compile,reino unido
russel,alemania
taito,estados unidos
agetec,francia
gsp,estados unidos
microprose,reino unido
play it,alemania
slightly mad studios,japan
tomy corporation,japan
sammy corporation,japan
koch media,estados unidos
game factory,estados unidos
titus,japan
marvelous entertainment,estados unidos
genki,japan
mojang(jp),japan
pinnacle,japan
cto spa,estados unidos
talonsoft,japan
crystal dynamics,japan
sci,estados unidos
quelle,japan
mixi.inc,reino unido
rage software,estados unidos
ubisoft annecy,estados unidos
scholastic inc.,reino unido
interplay(uk),reino unido
mystique(ca),canada
chunsoft,reino unido
square ea,estados unidos
spike,japan
nippon ichi software,japan
lego media,dinamarca
illusion softworks,repablica checa
mattel interactive,estados unidos
rondomedia,alemania
sony computer entertainment america,estados unidos
imagineer,japan
aruze corp,japan
activision blizzard,estados unidos
pack in soft,japan
rebellion,reino unido
xplosiv,reino unido
gamemill entertainment,estados unidos
novalogic,estados unidos
telltale games,estados unidos
epoch,japan
harmonix music systems,estados unidos
electronic arts victor,japan
idea factory international jp,japan
adeline software,desconocido
funcom,noruega
panther software,desconocido
blast! entertainment ltd,reino unido
game life,desconocido
dsi games,desconocido
avalon interactive,desconocido
popcorn arcade,desconocido
neko entertainment,desconocido
vir2l studios,desconocido
aques,japan
syscom,desconocido
white park bay software,desconocido
system 3,desconocido
vatical entertainment,desconocido
daedalic,alemania
ea games,estados unidos
media factory,japan
vic tokai,japan
the adventure company,desconocido
game arts,japan
broccoli,japan
acquire,japan
general entertainment,desconocido
excalibur publishing,reino unido
imadio,desconocido
swing! entertainment,reino unido
sony music entertainment,japan
aqua plus,japan
